"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","25","90","14","0","32","7","51","69","","","","","24","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","1396253","","","","","","","","","","","","","","","","","","","1593009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","446761","495672","","","","","","","","","","","","","","","900507","","","","","","","","","","388327","446219","443738","483740","","","","","","","","","","","","2281912","",
"Albania","ALB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3146","8228","","","","13381","13173","13995","9558","5736","6190","709.858095090458","313.291631895176","197.981807083153","1139.42454873645","2234.39143182928","3575.11058564624","10359","10881","13560","17039","617",
"Andorra","AND","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","437","409","312","301","287","315","389","328","306","8","102",
"Arab World","ARB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2350","3032","7370","20735","","","","","","","","","","","","5556","1281","592","1433","17","919","21.0062020202167",
"Argentina","ARG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","173980","","","","93675","107895","","","","","","","","","","","","107691","","","","193529","","","","","","0","30193","35109","22781","24889","24713","21610","5289","11996","18596","23454","20253","19173","7168.24024923937","396.192682474852","872.936431155074","2904.86039361963","8451.04147026222","13403.1371392692","21993.9495701482","25167.8610572377","27973.4149320582","27220.1954043414","36812.945483366","35402.3099960778","33513.4907968501","32815.761457759","",
"Armenia","ARM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13007","10296","","8443","5073","1981","","","","6927","7661","8711","12456","10910","11834","11671","12469","14058","14802","11846","8614","5589","1710.18517620533",
"American Samoa","ASM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","24","139","308","125","42","263","27","86.8484976724503","108.842975206611","124","81.9212221991274","20.7606202209008","","","","132.91146190803","",
"Australia","AUS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88304","8978","6248","26000","20966","10716","9023","4896","5589","5766","6179","52484","45429","971","1480","592","168","1273","4291","4836","13192","8348","6721","4719","",
"Austria","AUT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7723","6615","7188","7430","5516","5680","6800","5215","4625","4638","4232","6683","6279","4807","4200","4351","6546","4410","4209","4146","3979","3232","5781","5345","",
"Azerbaijan","AZE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61173","79138","79899","88738","78125","77428","73286","71283","70361","61748","65503","53310","39439","8544","3637.8237314737","5979.83868864161","4338.63765144208","11966","24804","55687","54317","52916","26995","9457","152",
"Burundi","BDI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","472319","","","","","558347","","579838","582259","571807","544953","525513","507498","501289","482180","478710","","","","","579607","","","","","","","686242","591898","573867","540258","528301","486110","271932","180610","89767","123436","79876.9949951172","75399.9995117188","97388.0006103516","190332.012817383","150485.997680664","197870.032470703","237711.015869141","334526.019775391","408625.997802734","460784.002929688","467021.987304688","","","","",
"Belgium","BEL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7831","870","654","873","4279","3938","5449","6624","7844","8792","9272","15271","13766","13387","13738","14170","14994","10963","10723","10858","9921","11848","9771","13226","",
"Benin","BEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","383716","389134","416763","","453666","468687","564677","","524209","503897","509735","498878","490438","467298","","","","","","277823","244443","304245","275461","","228603","146181","125380","113072","68882","66445","62073","","57156","137769","198477","294370","314551","261877","213285","","",
"Burkina Faso","BFA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","756818","773080","","","","","859822","877023","894304","909597","924938","936560","952904","969809","981512","997332","1018021","1053081","1090783","","1155723","1187241","1210720","1228796","1238279","","","1276324","1293085","1294621","1299670","1346670","1327834","1313496","1239744","1191410","1101634","989914","946050","1099622","1009021","1017434","1027328","1035678","1033081","895083","896835","856576","929223","1053836","1098540","1244709","1647302","1363187",
"Bangladesh","BGD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","5060947","","","3262975","","","2917842","3610122","3960790","","","5212587","","5738082","5964606","6257419","6449855","6673539","5326152","5462667","5156730","","","","","","","","","","","","","","","1148544","1289922","","2317428","2309199","2278044","","","","","","","536211","543149","","","","1159988.45239901","1085125.81172616","918575.099977436",
"Bulgaria","BGR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4458","5572","1172","1123","1122","309","412","179","168","2682","2171","3740","6304","9500","8486","7892","8978","9580","10952","11136","10835","12534","12899","13937","",
